# Название_в_XML|Отображаемое_название|Номер_канала|Активен
.Black|.Black|86|True
.Red|.Red|85|True
.Sci-Fi|.Sci-Fi|82|True
365 дней ТВ|365 дней ТВ|129|True
Amedia 1|Amedia 1|80|True
Amedia Hit|Amedia Hit|78|True
Amedia Premium|Amedia Premium|77|True
BOLT|BOLT|100|True
Comedy|Comedy|91|True
KHL|KHL|106|True
KinoJam 1|KinoJam 1|79|True
KinoJam 2|KinoJam 2|76|True
KinoLiving|KINOLIVING|1|True
Megahit|Megahit|90|True
Premiere|Premiere|89|True
START Air|START Air|67|True
START World|START World|69|True
Блокбастер|Блокбастер|68|True
Время|Время|97|True
Дом Кино Премиум|Дом Кино Премиум|75|True
Дом кино|Дом кино|55|True
Звезда|Звезда|17|True
Золотая коллекция|Золотая коллекция|37|True
Индийское кино|Индийское кино|58|True
Индия|Индия|71|True
КиноТВ|КиноТВ|63|True
Кинокомедия|Кинокомедия|64|True
Киномикс|Киномикс|39|True
Кинопоказ|Кинопоказ|33|True
Кинопремьера|Кинопремьера|43|True
Киносвидание|Киносвидание|38|True
Киносемья|Киносемья|34|True
Киносерия|Киносерия|60|True
Киноужас|Киноужас|70|True
Кинохит|Кинохит|40|True
Красная линия|Красная линия|137|True
Любимое|Любимое|74|True
Матч!|Матч!|3|True
Мир сериала|Мир сериала|59|True
Москва. Доверие|Москва. Доверие|73|True
Мужское кино|Мужское кино|42|True
НСТ|НСТ|44|True
НТВ Хит|НТВ Хит|88|True
Наш Кинопоказ|Наш Кинопоказ|72|True
Наше Мужское|Наше Мужское|84|True
Наше любимое кино|Наше любимое кино|53|True
Наше новое кино|Наше новое кино|56|True
Ностальгия|Ностальгия|157|True
Остросюжетное|Остросюжетное|35|True
Победа|Победа|36|True
Премиальное HD|Премиальное HD|94|True
Про Любовь|Про Любовь|81|True
Пятый канал|Пятый канал|5|True
Ретро|Ретро|65|True
Родное кино|Родное кино|54|True
Русский Детектив|Русский Детектив|49|True
Русский Иллюзион|Русский Иллюзион|51|True
Русский бестселлер|Русский бестселлер|50|True
Русский роман|Русский роман|48|True
СТС|СТС|13|True
Советская киноклассика|Советская киноклассика|66|True
ТВ Центр|ТВ Центр|10|True
ТВ1000|ТВ1000|46|True
ТВ1000 action|ТВ1000 action|41|True
ТВ1000 русское|ТВ1000 русское|47|True
ТВ21|ТВ21|45|True
Телекафе|Телекафе|93|True
Техно 24|Техно 24|110|True
Феникс+Кино|Феникс+Кино|57|True
Шокирующее HD|Шокирующее HD|96|True
