Start;Stop;Chanel;Num;Ctg;NameSer;Ratio
220225;220255;Домашний;;Х/ф;Премьера. Уютное утро;[16+]
220255;221200;Домашний;;Х/ф;Такая, как все;[16+]
221200;221620;Домашний;;Х/ф;Я построю наш дом;[16+]
221620;222000;Домашний;;Х/ф;Слёзы осушит ветер;[16+]
222000;222020;Домашний;;Х/ф;Одна за всех;[16+]
222020;222330;Домашний;;Х/ф;Премьера. "Ночная сказка";[16+]
222330;230000;Домашний;;Х/ф;Премьера. "Ночная сказка";[16+]
220105;220310;Киносвидание;38;Х/ф;Рождественское меню;[12+]
220310;220500;Киносвидание;38;Х/ф;После;[18+]
220500;220655;Киносвидание;38;Х/ф;После. Глава 2;[18+]
220655;220840;Киносвидание;38;Х/ф;Эммануэль;[18+]
220840;221055;Киносвидание;38;Х/ф;Паутина страсти;[18+]
221055;221300;Киносвидание;38;Х/ф;Купи меня;[18+]
221300;221615;Киносвидание;38;Х/ф;Граф Монте-Кристо;[18+]
221615;221930;Киносвидание;38;Х/ф;Александр;[18+]
221930;222105;Киносвидание;38;Х/ф;Пленница любви;[18+]
222105;222340;Киносвидание;38;Х/ф;Субстанция;[18+]
222340;230200;Киносвидание;38;Х/ф;Сабрина;[16+]
220000;220105;Родное кино;54;Х/ф;Улицы разбитых фонарей;[16+]
220105;220205;Родное кино;54;Х/ф;Улицы разбитых фонарей;[16+]
220205;220410;Родное кино;54;Х/ф;Заяц над бездной;[16+]
220410;220510;Родное кино;54;Х/ф;Улицы разбитых фонарей;[16+]
220510;220615;Родное кино;54;Х/ф;Улицы разбитых фонарей;[16+]
220615;220715;Родное кино;54;Х/ф;Улицы разбитых фонарей;[16+]
220715;220820;Родное кино;54;Х/ф;Улицы разбитых фонарей;[16+]
220820;220930;Родное кино;54;Х/ф;Улицы разбитых фонарей;[16+]
220930;221030;Родное кино;54;Х/ф;Улицы разбитых фонарей;[16+]
221030;221130;Родное кино;54;Х/ф;Улицы разбитых фонарей;[16+]
221130;221545;Родное кино;54;Х/ф;Унесённые ветром;[18+]
221545;221740;Родное кино;54;Х/ф;Ворошиловский стрелок;[18+]
221740;221900;Родное кино;54;Х/ф;За прекрасных дам;[16+]
