Start;Stop;Chanel;Num;Ctg;NameSer;Ratio
170100;170500;Первый;1;Х/ф;Телеканал "Доброе утро";[]
170500;170510;Первый;1;Х/ф;Новости;[]
170510;170600;Первый;1;Х/ф;Модный приговор;[0+]
170600;170650;Первый;1;Х/ф;Жить здорово!;[16+]
170650;170825;Первый;1;Х/ф;ПОДКАСТ.ЛАБ;[16+]
170825;170900;Первый;1;Х/ф;"Микаэл Таривердиев. "Игра с судьбой";[12+]
170900;170930;Первый;1;Х/ф;Новости (с субтитрами);[]
170930;170950;Первый;1;Х/ф;"Микаэл Таривердиев. "Игра с судьбой";[12+]
170950;171100;Первый;1;Х/ф;Большая игра;[16+]
171100;171200;Первый;1;Х/ф;Время покажет;[16+]
171200;171215;Первый;1;Х/ф;Новости (с субтитрами) 2 с.;[]
171215;171305;Первый;1;Х/ф;Давай поженимся!;[16+]
171305;171400;Первый;1;Х/ф;Мужское / Женское;[16+]
171400;171415;Первый;1;Х/ф;Вечерние новости (с субтитрами);[]
171415;171445;Первый;1;Х/ф;Время покажет 2 с.;[16+]
171445;171550;Первый;1;Х/ф;Большая игра 2 с.;[16+]
171550;171700;Первый;1;Х/ф;Пусть говорят;[16+]
171700;171745;Первый;1;Х/ф;Время;[]
171745;171840;Первый;1;Х/ф;Премьера. "Петербургский роман" 1 с.;[12+]
171840;171940;Первый;1;Х/ф;Большая игра 3 с.;[16+]
171940;172040;Первый;1;Х/ф;Время героев;[16+]
172040;172120;Первый;1;Х/ф;ПОДКАСТ.ЛАБ 2 с.;[16+]
172120;172155;Первый;1;Х/ф;ПОДКАСТ.ЛАБ 3 с.;[16+]
172155;172235;Первый;1;Х/ф;ПОДКАСТ.ЛАБ 4 с.;[16+]
172235;172300;Первый;1;Х/ф;ПОДКАСТ.ЛАБ 5 с.;[16+]
172300;172305;Первый;1;Х/ф;Новости 2 с.;[]
172305;172325;Первый;1;Х/ф;ПОДКАСТ.ЛАБ 6 с.;[16+]
172325;180020;Первый;1;Х/ф;ПОДКАСТ.ЛАБ 7 с.;[16+]
